FECHA ,QUILLABAMBA
29/6/2018,9460
30/6/2018,5993
1/7/2018,4637
2/7/2018,7856
3/7/2018,7477
4/7/2018,7597
5/7/2018,7853
6/7/2018,7315
7/7/2018,4690
8/7/2018,4528
9/7/2018,7281
10/7/2018,7240
11/7/2018,7139
12/7/2018,7245
13/7/2018,7871
14/7/2018,5058
15/7/2018,4694
16/7/2018,5129
17/7/2018,8504
18/7/2018,8388
19/7/2018,8302
20/7/2018,8455
21/7/2018,4999
22/7/2018,5764
23/7/2018,8814
24/7/2018,9157
25/7/2018,9004
26/7/2018,9271
27/7/2018,9709
28/7/2018,4791
29/7/2018,5155
30/7/2018,9142
31/7/2018,9236
1/8/2018,9452
2/8/2018,9316
3/8/2018,9730
4/8/2018,5989
5/8/2018,5524
6/8/2018,6074
7/8/2018,9839
8/8/2018,10200
9/8/2018,10207
10/8/2018,11311
11/8/2018,7799
12/8/2018,6113
13/8/2018,9743
14/8/2018,9646
15/8/2018,10245
16/8/2018,10020
17/8/2018,10530
18/8/2018,6502
19/8/2018,5433
20/8/2018,10021
21/8/2018,10036
22/8/2018,10007
23/8/2018,10014
24/8/2018,10135
25/8/2018,6972
26/8/2018,5622
27/8/2018,10328
28/8/2018,10299
29/8/2018,9941
30/8/2018,10032
31/8/2018,10103
1/9/2018,6318
3/9/2018,10392
4/9/2018,10494
5/9/2018,10698
6/9/2018,10082
7/9/2018,9858
8/9/2018,6153
9/9/2018,5641
10/9/2018,10157
11/9/2018,10111
12/9/2018,10131
13/9/2018,10096
14/9/2018,10149
15/9/2018,6618
16/9/2018,4650
17/9/2018,10564
18/9/2018,10453
19/9/2018,10229
20/9/2018,11253
21/9/2018,10638
22/9/2018,6191
23/9/2018,4807
24/9/2018,9983
25/9/2018,10015
26/9/2018,10327
27/9/2018,10080
28/9/2018,9961
29/9/2018,7698
30/9/2018,5297
1/10/2018,10328
2/10/2018,10306
3/10/2018,10533
4/10/2018,10378
5/10/2018,10761
6/10/2018,7165
7/10/2018,5612
8/10/2018,10348
9/10/2018,10276
10/10/2018,4183
11/10/2018,9862
12/10/2018,10305
13/10/2018,5177
14/10/2018,5000
15/10/2018,10039
16/10/2018,10401
17/10/2018,10318
18/10/2018,10477
19/10/2018,9665
20/10/2018,6259
21/10/2018,5489
22/10/2018,9636
23/10/2018,9758
24/10/2018,9715
25/10/2018,9594
26/10/2018,10108
27/10/2018,6782
28/10/2018,6240
29/10/2018,10358
30/10/2018,10052
31/10/2018,12177
1/11/2018,9642
2/11/2018,5730
3/11/2018,7326
4/11/2018,5922
5/11/2018,9698
6/11/2018,9907
7/11/2018,9594
8/11/2018,10083
9/11/2018,10480
10/11/2018,7005
11/11/2018,5852
12/11/2018,10188
13/11/2018,10350
14/11/2018,10059
15/11/2018,10544
16/11/2018,10354
17/11/2018,7447
18/11/2018,5297
19/11/2018,9682
20/11/2018,9968
21/11/2018,9686
22/11/2018,9952
23/11/2018,10418
24/11/2018,6462
25/11/2018,5294
26/11/2018,9391
27/11/2018,9818
28/11/2018,9989
29/11/2018,9696
30/11/2018,10262
1/12/2018,6759
2/12/2018,5254
3/12/2018,9790
4/12/2018,9850
5/12/2018,10051
6/12/2018,2469
7/12/2018,9980
8/12/2018,7312
9/12/2018,6451
10/12/2018,9389
11/12/2018,9750
12/12/2018,9645
13/12/2018,9677
14/12/2018,9687
15/12/2018,7414
16/12/2018,6217
17/12/2018,8824
18/12/2018,8694
19/12/2018,8708
20/12/2018,8754
21/12/2018,8908
22/12/2018,6660
23/12/2018,5999
24/12/2018,8240
25/12/2018,5802
26/12/2018,7503
27/12/2018,7302
28/12/2018,7447
29/12/2018,4681
30/12/2018,4240
31/12/2018,6663
1/1/2019,6040
2/1/2019,7799
3/1/2019,7555
4/1/2019,7705
5/1/2019,5245
6/1/2019,5154
7/1/2019,8456
8/1/2019,8203
9/1/2019,8355
10/1/2019,8515
11/1/2019,8275
12/1/2019,5831
13/1/2019,4694
14/1/2019,8736
15/1/2019,8724
16/1/2019,8966
17/1/2019,9217
18/1/2019,9338
19/1/2019,6134
20/1/2019,5542
21/1/2019,9425
22/1/2019,5727
23/1/2019,8824
24/1/2019,8203
25/1/2019,9776
26/1/2019,6855
27/1/2019,6003
28/1/2019,8840
29/1/2019,9099
30/1/2019,8447
31/1/2019,8689
1/2/2019,9395
2/2/2019,6689
3/2/2019,5711
4/2/2019,9965
5/2/2019,9539
6/2/2019,9779
7/2/2019,9839
8/2/2019,9996
9/2/2019,6376
10/2/2019,5381
11/2/2019,10321
12/2/2019,10251
13/2/2019,10159
14/2/2019,10033
15/2/2019,10504
16/2/2019,5803
17/2/2019,5934
18/2/2019,10658
19/2/2019,10182
20/2/2019,10200
21/2/2019,10892
22/2/2019,10838
23/2/2019,7613
24/2/2019,5676
25/2/2019,10585
26/2/2019,10139
27/2/2019,10217
28/2/2019,10684
1/3/2019,9473
2/3/2019,6841
3/3/2019,4369
4/3/2019,3716
5/3/2019,4695
6/3/2019,10625
7/3/2019,10609
8/3/2019,10781
9/3/2019,6458
10/3/2019,4511
11/3/2019,9608
12/3/2019,10171
13/3/2019,10372
14/3/2019,10102
15/3/2019,10519
16/3/2019,6270
17/3/2019,5260
18/3/2019,10298
19/3/2019,10048
20/3/2019,10740
21/3/2019,10628
22/3/2019,11316
23/3/2019,7269
24/3/2019,5317
25/3/2019,10444
26/3/2019,10611
27/3/2019,10648
28/3/2019,10939
29/3/2019,11266
30/3/2019,7039
31/3/2019,5253
1/4/2019,10189
2/4/2019,10564
3/4/2019,10431
4/4/2019,10773
5/4/2019,11182
6/4/2019,7130
7/4/2019,5927
8/4/2019,10402
9/4/2019,11379
10/4/2019,10789
11/4/2019,10560
12/4/2019,11330
13/4/2019,7367
14/4/2019,5893
15/4/2019,10945
16/4/2019,10975
17/4/2019,10718
18/4/2019,9942
19/4/2019,5855
20/4/2019,5893
21/4/2019,5247
22/4/2019,11092
23/4/2019,10733
24/4/2019,10395
25/4/2019,10107
26/4/2019,10975
27/4/2019,7008
28/4/2019,5425
29/4/2019,10726
30/4/2019,10502
1/5/2019,6302
2/5/2019,11753
3/5/2019,10903
4/5/2019,6979
5/5/2019,5395
6/5/2019,10947
7/5/2019,10356
8/5/2019,10788
9/5/2019,10830
10/5/2019,11186
11/5/2019,7537
12/5/2019,4759
13/5/2019,10648
14/5/2019,10639
15/5/2019,10860
16/5/2019,10809
17/5/2019,10488
18/5/2019,8229
19/5/2019,6045
20/5/2019,10715
21/5/2019,10900
22/5/2019,10933
23/5/2019,10515
24/5/2019,10470
25/5/2019,8881
26/5/2019,6398
27/5/2019,9500
28/5/2019,10645
29/5/2019,10261
30/5/2019,10641
31/5/2019,10784
1/6/2019,6975
2/6/2019,5221
3/6/2019,10852
4/6/2019,10589
5/6/2019,10592
6/6/2019,10155
7/6/2019,10297
8/6/2019,6994
9/6/2019,5546
10/6/2019,9556
11/6/2019,10596
12/6/2019,10610
13/6/2019,10454
14/6/2019,10431
15/6/2019,4659
16/6/2019,4187
17/6/2019,10229
18/6/2019,10086
19/6/2019,10210
20/6/2019,5342
21/6/2019,5499
22/6/2019,5731
23/6/2019,5080
24/6/2019,10022
25/6/2019,10310
26/6/2019,9217
27/6/2019,10576
28/6/2019,10256
29/6/2019,6848
30/6/2019,5418
1/7/2019,9689
2/7/2019,9711
3/7/2019,9619
4/7/2019,9794
5/7/2019,9673
6/7/2019,6768
7/7/2019,5460
8/7/2019,9229
9/7/2019,9424
10/7/2019,9609
11/7/2019,9546
12/7/2019,9683
13/7/2019,7248
14/7/2019,6059
15/7/2019,4409
16/7/2019,5817
17/7/2019,9710
18/7/2019,8836
19/7/2019,8628
20/7/2019,5969
21/7/2019,5009
22/7/2019,9355
23/7/2019,9266
24/7/2019,10139
25/7/2019,10207
26/7/2019,10545
27/7/2019,6721
28/7/2019,5560
29/7/2019,10100
30/7/2019,10363
31/7/2019,10577
1/8/2019,10708
2/8/2019,10378
3/8/2019,5478
4/8/2019,5483
5/8/2019,10670
6/8/2019,6829
7/8/2019,11187
8/8/2019,11331
9/8/2019,11692
10/8/2019,7513
11/8/2019,6439
12/8/2019,11067
13/8/2019,10933
14/8/2019,10927
15/8/2019,10787
16/8/2019,10924
17/8/2019,4739
18/8/2019,5714
19/8/2019,10322
20/8/2019,10784
21/8/2019,3997
22/8/2019,6314
23/8/2019,10818
24/8/2019,6560
25/8/2019,11092
26/8/2019,12360
27/8/2019,12780
28/8/2019,12664
29/8/2019,12230
30/8/2019,11940
31/8/2019,7823
2/9/2019,11569
3/9/2019,11496
4/9/2019,11053
5/9/2019,10423
6/9/2019,10579
7/9/2019,6571
8/9/2019,6298
9/9/2019,10643
10/9/2019,10864
11/9/2019,10986
12/9/2019,10185
13/9/2019,10913
14/9/2019,7257
15/9/2019,5739
16/9/2019,11502
17/9/2019,11208
18/9/2019,11458
19/9/2019,11757
20/9/2019,11244
21/9/2019,7143
22/9/2019,6489
23/9/2019,11109
24/9/2019,11245
25/9/2019,11124
26/9/2019,10893
27/9/2019,11318
28/9/2019,8657
29/9/2019,5828
30/9/2019,11153
1/10/2019,11367
2/10/2019,11136
3/10/2019,11623
4/10/2019,10891
5/10/2019,7437
6/10/2019,5972
7/10/2019,11212
8/10/2019,11448
9/10/2019,11206
10/10/2019,11833
11/10/2019,11558
12/10/2019,7489
13/10/2019,5973
14/10/2019,11114
15/10/2019,11475
16/10/2019,11513
17/10/2019,10765
18/10/2019,11039
19/10/2019,6439
21/10/2019,10796
22/10/2019,9905
23/10/2019,9676
24/10/2019,10349
